question,answer
Is there a reason my new card hasn't arrived yet?,New cards usually arrive within 5–7 business days after approval.
"I've been waiting a while for my card, is there a way to know when it will arrive?",New cards usually arrive within 5–7 business days after approval.
How can I track my card's delivery?,New cards usually arrive within 5–7 business days after approval.
Can I track the card that was just sent to me?,New cards usually arrive within 5–7 business days after approval.
"If I ordered my new card last week, how much longer should I wait to receive it?",New cards usually arrive within 5–7 business days after approval.
"What's go on, where is my new card?",New cards usually arrive within 5–7 business days after approval.
Where is my new card if I haven't received it yet?,New cards usually arrive within 5–7 business days after approval.
Where is my card?,New cards usually arrive within 5–7 business days after approval.
Can you tell me why I haven't received my new card yet?,New cards usually arrive within 5–7 business days after approval.
Is there a way to track my card?,New cards usually arrive within 5–7 business days after approval.
Is there a way to track the new card you sent me?,New cards usually arrive within 5–7 business days after approval.
I'm still waiting for my card.,New cards usually arrive within 5–7 business days after approval.
What do I need to do to get my new card which I have requested 2 weeks ago?,New cards usually arrive within 5–7 business days after approval.
WHAT IS THE SOLUTION OF THIS PROBLEM,New cards usually arrive within 5–7 business days after approval.
Could I get tracking on the card?,New cards usually arrive within 5–7 business days after approval.
Can you help me track my card?,New cards usually arrive within 5–7 business days after approval.
Shouldn't my new card be here by now?,New cards usually arrive within 5–7 business days after approval.
Is there a reason my new card hasn't arrived?,New cards usually arrive within 5–7 business days after approval.
"I would like to track a card sent to me, how do I do that?",New cards usually arrive within 5–7 business days after approval.
Is there a tracking number for the card?,New cards usually arrive within 5–7 business days after approval.
can you share card tracking number?,New cards usually arrive within 5–7 business days after approval.
"I have not received my card and it's been a week, what do I do?",New cards usually arrive within 5–7 business days after approval.
Is there a way I can check on the card on route to me?,New cards usually arrive within 5–7 business days after approval.
When will my new card arrive?,New cards usually arrive within 5–7 business days after approval.
Why haven't I received my new card yet?,New cards usually arrive within 5–7 business days after approval.
What is the expected delivery date of my card?,New cards usually arrive within 5–7 business days after approval.
My card hasn't came in the mail yet?,New cards usually arrive within 5–7 business days after approval.
I haven't received my card.,New cards usually arrive within 5–7 business days after approval.
Is it possible for me to track the card is was mailed to me?,New cards usually arrive within 5–7 business days after approval.
When will my new card be delivered?,New cards usually arrive within 5–7 business days after approval.
I was issued a card about a week ago. why hasn't it come in yet?,New cards usually arrive within 5–7 business days after approval.
Can you please tell me where my card is? I ordered it 2 weeks ago!,New cards usually arrive within 5–7 business days after approval.
I still haven't received my card in the mail,New cards usually arrive within 5–7 business days after approval.
I'm still waiting for my card that was issued a week ago. What should I do?,New cards usually arrive within 5–7 business days after approval.
I still haven't gotten my new card.  When will it get here?,New cards usually arrive within 5–7 business days after approval.
Do you have a tracking number for the card I was sent?,New cards usually arrive within 5–7 business days after approval.
How do I track the card you sent to me?,New cards usually arrive within 5–7 business days after approval.
Is my new bank card on the way and is there a way to track it?,New cards usually arrive within 5–7 business days after approval.
Could you send me and up date on the arrival of my card?,New cards usually arrive within 5–7 business days after approval.
How long does it take to recieve my new card?,New cards usually arrive within 5–7 business days after approval.
My card has not come in the mail yet.,New cards usually arrive within 5–7 business days after approval.
What's the card you sent me's tracking number?,New cards usually arrive within 5–7 business days after approval.
i havent got my card,New cards usually arrive within 5–7 business days after approval.
Why hasn't my card arrived yet?,New cards usually arrive within 5–7 business days after approval.
I thought I would have received my new card at this point.,New cards usually arrive within 5–7 business days after approval.
How long until my new card gets here?,New cards usually arrive within 5–7 business days after approval.
How much longer until I get my new card?,New cards usually arrive within 5–7 business days after approval.
Am I able to track a card that has already been sent?,New cards usually arrive within 5–7 business days after approval.
Is it possible to track the card you sent me?,New cards usually arrive within 5–7 business days after approval.
How long will it be to get this new card?,New cards usually arrive within 5–7 business days after approval.
how can i track card you sent,New cards usually arrive within 5–7 business days after approval.
Can the card was sen to me be tracked?,New cards usually arrive within 5–7 business days after approval.
why have i not got my new card?,New cards usually arrive within 5–7 business days after approval.
I need to track the card sent to me.,New cards usually arrive within 5–7 business days after approval.
"It's been two weeks and I haven't gotten my card, what do I do?",New cards usually arrive within 5–7 business days after approval.
I was expecting my new card by now.,New cards usually arrive within 5–7 business days after approval.
Where is the tracking number for the card?,New cards usually arrive within 5–7 business days after approval.
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,New cards usually arrive within 5–7 business days after approval.
Can I track the card that you sent me in the mail?,New cards usually arrive within 5–7 business days after approval.
Can you tell me if I can track the card you sent me?,New cards usually arrive within 5–7 business days after approval.
Why have I not gotten my new card?,New cards usually arrive within 5–7 business days after approval.
I'm still waiting on my new card to be delivered!,New cards usually arrive within 5–7 business days after approval.
My new card isn't here and it was issued a week ago.,New cards usually arrive within 5–7 business days after approval.
"I was supposed to receive my new card by now, but it hasn't came in.",New cards usually arrive within 5–7 business days after approval.
Is a tracking number available for the card that was just sent?,New cards usually arrive within 5–7 business days after approval.
Why haven't I gotten my new card?,New cards usually arrive within 5–7 business days after approval.
Was there a number to track that I could get?,New cards usually arrive within 5–7 business days after approval.
How much longer is it going to take to get my new card?,New cards usually arrive within 5–7 business days after approval.
I haven't gotten my credit card in the mail.,New cards usually arrive within 5–7 business days after approval.
My card hasn't arrived yet. What do I do?,New cards usually arrive within 5–7 business days after approval.
"My card still hasn't arrived after two weeks, now what?",New cards usually arrive within 5–7 business days after approval.
My card appears to have never arrived?,New cards usually arrive within 5–7 business days after approval.
My card never arrived.,New cards usually arrive within 5–7 business days after approval.
My card has been found. Is there any way for me to put it back into the app?,This relates to: Card linking.
I was able to find my card. How to I go about putting it into my app?,This relates to: Card linking.
how do I get my card to show in the app?,This relates to: Card linking.
I just got my card.  It's not linked yet--how do I do that?,This relates to: Card linking.
"lost card found, want to put it back in app",This relates to: Card linking.
"I just got a card, how can I add it to the app?",This relates to: Card linking.
Is there any way to see my card in the app?,This relates to: Card linking.
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,This relates to: Card linking.
I found my card. How can I put it into my app?,This relates to: Card linking.
How do I make my card show up in the app?,This relates to: Card linking.
Can you show me where to link the new card?,This relates to: Card linking.
I found my old card. Can I link it back into the app?,This relates to: Card linking.
"Show me how to link the new card,",This relates to: Card linking.
How do I add an existing card to the app?,This relates to: Card linking.
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,This relates to: Card linking.
How do I link one of your card that I already have?,This relates to: Card linking.
If I have a physical card can I link it?,This relates to: Card linking.
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,This relates to: Card linking.
Can I add a card that I just found (again) to the app?,This relates to: Card linking.
How can I make my card show up in the app?,This relates to: Card linking.
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",This relates to: Card linking.
"Okay, I found my card, can I put it back in the app?",This relates to: Card linking.
Can I reactivate a card?,This relates to: Card linking.
I would like to reactivate a card and wondered if that could be done?,This relates to: Card linking.
"I got my card now, how do I make it show up in the app?",This relates to: Card linking.
How do I link an existing card?,This relates to: Card linking.
How do I link a new card in the app?,This relates to: Card linking.
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",This relates to: Card linking.
I already have a card and want to link it,This relates to: Card linking.
Can you please reactivate my card?,This relates to: Card linking.
Where do I go to add a new card?,This relates to: Card linking.
I want my card I just received to show up in the app. How do I do that?,This relates to: Card linking.
"I received my card, how do I get it to show in the app?",This relates to: Card linking.
If I have a credit card with you how I get set up to link to it?,This relates to: Card linking.
How do I add my new card?,This relates to: Card linking.
"I want to reactivate my card, I thought I had lost it but found it again this morning.",This relates to: Card linking.
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",This relates to: Card linking.
My card is no longer lost. How do I enter it back into the app?,This relates to: Card linking.
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",This relates to: Card linking.
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",This relates to: Card linking.
How do I reactivate a card I thought I lost?,This relates to: Card linking.
Help me figure out how to link the new card.,This relates to: Card linking.
I found my lost card. Am I still able to use it?,This relates to: Card linking.
Will I need a new card or can I put my old card back into the app?,This relates to: Card linking.
Is there a way to link the card i just got?,This relates to: Card linking.
How do I add a new card?,This relates to: Card linking.
"I want to reactivate my card, I found it after thinking it was lost.",This relates to: Card linking.
Can I put my old card back in the app?,This relates to: Card linking.
"I got a new card, how do I link it?",This relates to: Card linking.
I found the card I thought I lost this morning. Can I reactivate this card?,This relates to: Card linking.
How do i go about linking a new card?,This relates to: Card linking.
how do i get the card linked,This relates to: Card linking.
"I have one of your cards, but I don't know how to link it.",This relates to: Card linking.
how do I link an old card?,This relates to: Card linking.
I received my card. How do I link it to the app?,This relates to: Card linking.
"Now that I have my card, how do I connect it to the app?",This relates to: Card linking.
How do I add the card I just received to show up in the app?,This relates to: Card linking.
"I want to reactivate my card, I thought I had lost it but I found it.",This relates to: Card linking.
What do I need to do to link my new card for my account?,This relates to: Card linking.
Can I add a card to back into the app?,This relates to: Card linking.
I want to link my new card. Can you help?,This relates to: Card linking.
What is the process to link the new card?,This relates to: Card linking.
"I found my card, am I able to put it back into the app?",This relates to: Card linking.
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",This relates to: Card linking.
Where can I link a new card?,This relates to: Card linking.
How do I add a card on to the app?,This relates to: Card linking.
"I found my card in my jacket this morning, so can I reactivate it?",This relates to: Card linking.
"I've obtained the card, how do I enable it on the app?",This relates to: Card linking.
I need to find the card I received in the app.,This relates to: Card linking.
How do I get my card on the app?,This relates to: Card linking.
"In the app, how can I make it show the new card that arrived?",This relates to: Card linking.
How do I link my new card?,This relates to: Card linking.
Can I activate a card in the app?,This relates to: Card linking.
"I want to link to my card card with you, how?",This relates to: Card linking.
I would like to link my card to my account.,This relates to: Card linking.
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",This relates to: Card linking.
How can I link the new card?,This relates to: Card linking.
I got a new card and can't find where to link it.,This relates to: Card linking.
"Hey, I have my card, how do I get it to show in the app?",This relates to: Card linking.
Where in the app do I go to make my new card show up?,This relates to: Card linking.
Where do I scan my card?,This relates to: Card linking.
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,This relates to: Card linking.
Can I link my card I previously received?,This relates to: Card linking.
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",This relates to: Card linking.
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",This relates to: Card linking.
You sent me a card and now I want to link it.,This relates to: Card linking.
How do I add my new card to the app?,This relates to: Card linking.
Can I add a card back to the app?,This relates to: Card linking.
What if I want to add a card I already have to the app?,This relates to: Card linking.
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",This relates to: Card linking.
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",This relates to: Card linking.
Is there a way to link cards if I have one of yours?,This relates to: Card linking.
If my card was lost or stolen can I re-link it?,This relates to: Card linking.
How do I link a new card to an existing one?,This relates to: Card linking.
How do I link a new payment card?,This relates to: Card linking.
I would like to reactivate my card that I previously reported lost. I located the card this morning.,This relates to: Card linking.
"Card has been received, how will it show up on the app?",This relates to: Card linking.
Can I re-link a lost card with the app?,This relates to: Card linking.
What do I do to link my new card?,This relates to: Card linking.
Is it possible to link a new card?,This relates to: Card linking.
I deactivated my card but would like to reactivate it.,This relates to: Card linking.
"I found my card that I thought I had lost, I need to reactive it, please help.",This relates to: Card linking.
can I link a card of yours I already have?,This relates to: Card linking.
Can I put my found card back into the app on my phone?,This relates to: Card linking.
"My card arrived but I need to make it work in the app, how do I do that?",This relates to: Card linking.
"I found the card that I thought I lost, and I would like to reactivate it.",This relates to: Card linking.
I found my card again. Can I put it back into the app?,This relates to: Card linking.
I need some help linking my new card.,This relates to: Card linking.
help me link my card,This relates to: Card linking.
How do I link my card in the app.,This relates to: Card linking.
How do I get my card into the app?,This relates to: Card linking.
I found my card! Can I link it back into the app?,This relates to: Card linking.
How do I reactivate my card?,This relates to: Card linking.
Where do I go to get my new card linked?,This relates to: Card linking.
"I thought I lost my card but I found it today, so I would like to reactivate it.",This relates to: Card linking.
How do I link the new card that I just got from you guys?,This relates to: Card linking.
How can I add a new card?,This relates to: Card linking.
Can you tell me how to get my card on the app?,This relates to: Card linking.
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,This relates to: Card linking.
How do I make my card appear on the app?,This relates to: Card linking.
How do I link the new card?,This relates to: Card linking.
Where in the app do I link a new card?,This relates to: Card linking.
How do I add my card to the app once I get it?,This relates to: Card linking.
Can I link your physical card,This relates to: Card linking.
How do I activate and link my new card?,This relates to: Card linking.
"I got a card, how do I get it in the app?",This relates to: Card linking.
I received my new card.  Where is it in the app?,This relates to: Card linking.
"I found my card, how can I use it again?",This relates to: Card linking.
"I just received a new card, where do I go to link it to my account?",This relates to: Card linking.
"found card, how to put it back in app",This relates to: Card linking.
How do I see my card in the app?,This relates to: Card linking.
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",This relates to: Card linking.
I don't see my card anywhere in the app.,This relates to: Card linking.
"I received my card, how do I get it to work in the app?",This relates to: Card linking.
What do I do if I already had a card with you guys?,This relates to: Card linking.
if i found a lost card can i put it back in app,This relates to: Card linking.
I have a card that was deactivated can I reactivate it?,This relates to: Card linking.
"My new card isn't in my app, how do I get it in there?",This relates to: Card linking.
Help me access the card I already got so I can information from it.,This relates to: Card linking.
What is my money worth in other countries?,This relates to: Exchange rate.
Will my money be of equal value when I travel abroad?,This relates to: Exchange rate.
Do you know the rate of exchange?,This relates to: Exchange rate.
What foreign exchange rate will I get on weekdays and on the weekends?,This relates to: Exchange rate.
What is the exchange looking like?,This relates to: Exchange rate.
How is the exchange rate doing?,This relates to: Exchange rate.
I would like to know how exchange rates are calculated when transferring funds.,This relates to: Exchange rate.
I would like to know what exchange rates you use?,This relates to: Exchange rate.
"If I need to cash foreign transfers, how does that work?",This relates to: Exchange rate.
Do you know what your exchange rates are?,This relates to: Exchange rate.
How do I know what exchange rate I will get?,This relates to: Exchange rate.
What are you exchange rates?,This relates to: Exchange rate.
Do you have the best exchange rate?,This relates to: Exchange rate.
Where can I find your exchange rates?,This relates to: Exchange rate.
Your exchange rates come from where?,This relates to: Exchange rate.
I need to know what your exchange rates are.,This relates to: Exchange rate.
What's the process for exchanges?,This relates to: Exchange rate.
What do you think of the exchange rate?,This relates to: Exchange rate.
How are exchange rates calculated at this bank?,This relates to: Exchange rate.
What do you use to figure out the exchange rate for the card?,This relates to: Exchange rate.
What's the foreign exchange rate I will receive?,This relates to: Exchange rate.
I need to know what foreign exchange rate I can get.,This relates to: Exchange rate.
What are the current exchange rates?,This relates to: Exchange rate.
What exchange rate will I receive?,This relates to: Exchange rate.
What is the basis of your exchange rates?,This relates to: Exchange rate.
How's the exchange rate?,This relates to: Exchange rate.
How do you determine your exchange rates?,This relates to: Exchange rate.
How do the foreign exchange rates work?,This relates to: Exchange rate.
Where are you getting your exchange rates from?,This relates to: Exchange rate.
How is the exchange rate calculated?,This relates to: Exchange rate.
I'm interested in what your exchange rates are based on.,This relates to: Exchange rate.
How do you decide what the exchange rates are?,This relates to: Exchange rate.
What is the current exchange rate?,This relates to: Exchange rate.
What is the formula for your exchange rate?,This relates to: Exchange rate.
What method do you use for the exchange rate?,This relates to: Exchange rate.
What are Interbanks current exchange rates?,This relates to: Exchange rate.
from where are coming your exchange rates?,This relates to: Exchange rate.
How do you calculate exchange rates?,This relates to: Exchange rate.
Why is your exchange rate different on different days?,This relates to: Exchange rate.
Where can I find the exchange rate for my transfer?,This relates to: Exchange rate.
Where can I get your exchange rates from?,This relates to: Exchange rate.
How do you find the exchange rate?,This relates to: Exchange rate.
How are exchange rates determined?,This relates to: Exchange rate.
What value can I get for my currency?,This relates to: Exchange rate.
Please explain your exchange rate policy.,This relates to: Exchange rate.
What are your exchange rates calculated from?,This relates to: Exchange rate.
What is an exchange rate?,This relates to: Exchange rate.
What is your opinion on the exchange rate?,This relates to: Exchange rate.
What are the exchange rates you assign?,This relates to: Exchange rate.
How do you determine exchange rates?,This relates to: Exchange rate.
How are your exchange rates calculated?,This relates to: Exchange rate.
How is an exchange rate calculated?,This relates to: Exchange rate.
"When exchanging, how much are the rates?",This relates to: Exchange rate.
What is the exchange rate for EUR?,This relates to: Exchange rate.
How can I find your exchange rates?,This relates to: Exchange rate.
Could you please tell me your exchange rates?,This relates to: Exchange rate.
Is there an exchange rate?,This relates to: Exchange rate.
How does the exchange rate work?,This relates to: Exchange rate.
What is the present state of the exchange rate?,This relates to: Exchange rate.
How are foreign exchange rates determined?,This relates to: Exchange rate.
How's the exchange rate looking right now?,This relates to: Exchange rate.
Please explain the exchange rates.,This relates to: Exchange rate.
What is the foreign exchange rate you will apply?,This relates to: Exchange rate.
explain the interbank exchange rate,This relates to: Exchange rate.
What will my exchange rate be?,This relates to: Exchange rate.
how do you get exchange rates,This relates to: Exchange rate.
What exchange rates do you use?,This relates to: Exchange rate.
How will I know what the exchange rate is?,This relates to: Exchange rate.
What factors effect the exchange rate?,This relates to: Exchange rate.
Where does the exchange rate stand right now?,This relates to: Exchange rate.
I'd like to know what the foreign exchange rate will be.,This relates to: Exchange rate.
Does the exchange rate change?,This relates to: Exchange rate.
How do your exchange rates factor in?,This relates to: Exchange rate.
Will I know which exchange rate I will get?,This relates to: Exchange rate.
How do I know what the exchange rate will be when I make an exchange.,This relates to: Exchange rate.
Is the exchange rate the same on weekends as the weekdays?,This relates to: Exchange rate.
How do you do exchanges?,This relates to: Exchange rate.
On what do you base your exchange rates?,This relates to: Exchange rate.
How do you come up with your exchange rate,This relates to: Exchange rate.
What factors determine your exchange rate?,This relates to: Exchange rate.
How are the exchange rates determined?,This relates to: Exchange rate.
I would like to know what your exchange rates are.,This relates to: Exchange rate.
Is the exchange rate current?,This relates to: Exchange rate.
What are the exchange rates?,This relates to: Exchange rate.
How much are the rates of exchange?,This relates to: Exchange rate.
How do you decide what your exchange rates are?,This relates to: Exchange rate.
Your exchange rates are coming from where?,This relates to: Exchange rate.
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,This relates to: Exchange rate.
How are the exchange rates for transfers calculated?,This relates to: Exchange rate.
How do I know how much money I will have when I travel abroad?,This relates to: Exchange rate.
How do you do currency exchanges?,This relates to: Exchange rate.
Can you explain your exchange rates basis?,This relates to: Exchange rate.
How did you guys get your exchange rate?,This relates to: Exchange rate.
Can you tell me your exchange rates?,This relates to: Exchange rate.
Could you tell me what your exchange rates are?,This relates to: Exchange rate.
Does this app have the same exchange rate as third parties?,This relates to: Exchange rate.
what are your exchange rates at?,This relates to: Exchange rate.
How is the current exchange rate?,This relates to: Exchange rate.
What is the system for determining the exchange rate?,This relates to: Exchange rate.
I am travelling and I was wondering what your exchange rates are,This relates to: Exchange rate.
How can I tell what foreign exchange rate I will get?,This relates to: Exchange rate.
Tell me your opinion on the exchange rate.,This relates to: Exchange rate.
I'd like to know what you guys look at to decide an exchange rate,This relates to: Exchange rate.
How does the exchange rate work on this app?,This relates to: Exchange rate.
where do you find your exchange rates?,This relates to: Exchange rate.
I want to know your exchange rates.,This relates to: Exchange rate.
What exchange rate is it?,This relates to: Exchange rate.
What is the source of your exchange rates?,This relates to: Exchange rate.
i need to know about exchange rates,This relates to: Exchange rate.
Where do you get those exchange rates?,This relates to: Exchange rate.
How do you determine the exchange rate?,This relates to: Exchange rate.
What foreign exchange rate will I get?,This relates to: Exchange rate.
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",This relates to: Card payment wrong exchange rate.
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",This relates to: Card payment wrong exchange rate.
I think the currency exchange that's been applied is wrong.,This relates to: Card payment wrong exchange rate.
The exchange rate I was charged for a purchase was not right.,This relates to: Card payment wrong exchange rate.
Can you please explain why the exchange rate for the item I bought is wrong?,This relates to: Card payment wrong exchange rate.
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,This relates to: Card payment wrong exchange rate.
My payment has an incorrect exchange rate.,This relates to: Card payment wrong exchange rate.
my exchange rate looks wrong for my last payment,This relates to: Card payment wrong exchange rate.
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,This relates to: Card payment wrong exchange rate.
I was charged the wing amount for an item.,This relates to: Card payment wrong exchange rate.
the exchange rate on my payment was wrong,This relates to: Card payment wrong exchange rate.
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,This relates to: Card payment wrong exchange rate.
An incorrect exchange rate was applied to an item I bought.,This relates to: Card payment wrong exchange rate.
The exchange rate was incorrect for an item I bought.,This relates to: Card payment wrong exchange rate.
The exchange rate on my payment doesn't look right,This relates to: Card payment wrong exchange rate.
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",This relates to: Card payment wrong exchange rate.
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,This relates to: Card payment wrong exchange rate.
After purchasing an item I noticed the exchange rate was incorrect.,This relates to: Card payment wrong exchange rate.
The amount of exchange was not correct for the item i bought.,This relates to: Card payment wrong exchange rate.
The exchange rate from my card payment isn't right.,This relates to: Card payment wrong exchange rate.
My exchange rate isn't correct.,This relates to: Card payment wrong exchange rate.
Why was the exchange rate so wrong when I bought something!,This relates to: Card payment wrong exchange rate.
My exchange rate was wrong for an Item I bought!,This relates to: Card payment wrong exchange rate.
I was using a foreign currecy to make a payment and the applied the wrong rate.,This relates to: Card payment wrong exchange rate.
The exchange rate was incorrect for this item I bought.,This relates to: Card payment wrong exchange rate.
I purchased something overseas and the incorrect exchange rate was applied.,This relates to: Card payment wrong exchange rate.
The exchange rate is incorrect for my payment.,This relates to: Card payment wrong exchange rate.
The item i bought exchanged rate was incorrect.,This relates to: Card payment wrong exchange rate.
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,This relates to: Card payment wrong exchange rate.
